address,area,icon,id,image_url,is_private,lat,lon,meta,name,offentlig_avtale,phone_number,region_type,same_location_as,slug,strengths,type,updated_at
"Glengsgata 17, 1706 Sarpsborg",,accel,98c9d28d-fea0-41b5-836d-983a5ed4e4e6,,False,59.28327002527653,11.114843233960004,,"Sykehuset Østfold, ARA Poliklinikk Sarpsborg vurderingsteam",,69 86 98 00,4,Rus- og avhengighetspoliklinikk Sarpsborg,sykehuset-ostfold-ara-poliklinikk-sarpsborg-vurderingsteam,,1,2 år siden
"Hamangskogen 60, 1338 Sandvika",Bærum kommune,accel,98c9d28e-1084-44fb-9442-d98b5fef386c,,False,59.89881555253802,10.509909371066492,,"Vestre Viken, Bærum DPS, vurderingsteam",,67 81 43 00,4,Vurderingsteamet er samlokalisert med poliklinikkene for rus og psykisk helse i Bærum DPS.,vestre-viken-baerum-dps-vurderingsteam,Vurderingsteamet vurderer både til psykisk helsevern og TSB. Teamet er tverrfaglig sammensatt ved vurdering av TSB-henvisninger.,1,1 år siden
"Kongensgate 33, 3717 Skien",,accel,98c9d28d-5f0a-44a7-851b-e12d7e4b3816,,False,59.20875900898825,9.610864161932604,,KORUS Sør,,35 90 47 00,4,,korus-sor,,2,2 år siden
"Sollivegen 403, 2840 Reinsvoll",Helse Sør-Øst,accel,98c9d28b-df44-4884-85ba-fba94e4bdae8,,True,60.64358855269842,10.481342308337416,,"Stiftelsen Solliakollektivet, Avdeling Sollia",,61128700,4,,stiftelsen-solliakollektivet-avdeling-sollia,"Bred faglig kompetanse. Helsepersonell, sosionomer, sykepleier/vernepleier, psykiater, lege, psykolog, erfaringskonsulenter, agronomer, snekker, kokker og egen lærer. Sollia er gode på en fullstendig avklaring av sitasjonen før endt behandling.",0,2 år siden
"Markveien 31, 9510 Alta",,accel,98c9d28d-6638-4810-bcb6-f73411078634,,False,69.96487753452952,23.271469301399918,,"Finnmarkssykehuset, Klinikk Alta, Avdeling avhengighetsbehandling, vurderingsteam",,41 43 13 16,1,"Avdeling avhengighetsbehandling, døgnenhet og ruspoliklinikk",finnmarkssykehuset-klinikk-alta-avdeling-avhengighetsbehandling-vurderingsteam,,1,2 år siden
"Løkkegata 11, 2615 Lillehammer",Helse Sør-Øst,accel,98c9d28c-e8f3-49f5-8dd7-572fcf548a11,,True,61.117309782139245,10.448898974541596,,Tyrilisenteret i Lillehammer,,474 74 010,4,Tyrili Klatring,tyrilisenteret-i-lillehammer,"Enheten tilbyr døgnbehandling i fellesskap, for voksne med alvorlig rusmiddelavhengighet. Beliggenheten er skjermet og fredelig, samtidig som det er kort vei til byens tilbud. Gammelt og nytt møtes i det gamle fabrikklokalet i teglstein, som har fått selskap av et moderne tilbygg. Her ligger også Tyrili Klatring, et av landets største klatresentre, som brukes som utviklingsarena for pasienter ved Tyrilisenteret i Lillehammer. Det skjer både gjennom klatring som aktivitet, og gjennom deltagelse i et arbeidslag som står for driften av senteret.",0,11 måneder siden
"Sykehusstien 8, 9406 Harstad","Harstad, Lødingen, Tjeldsund og Kvæfjord",accel,98c9d279-7ada-4eb8-9dfa-29b2fd8677f6,,False,68.79649822662256,16.516335509776873,,"Universitetssykehuset Nord-Norge, Voksenpsykiatrisk poliklinikk Harstad",,77 01 59 00,1,Voksenpsykiatrisk poliklinikk Sør-Troms (PHV),universitetssykehuset-nord-norge-voksenpsykiatrisk-poliklinikk-harstad,,0,2 år siden
"Sykehusveien 28, 9601 Hammerfest","Hammerfest, Nordkapp og Måsøy",accel,98c9d278-457d-4844-b0d3-ff1b9e3341bd,,False,70.67527325894446,23.675467072642512,,"Finnmarkssykehuset, Klinikk Hammerfest, Voksenpsykiatrisk poliklinikk, rusteam",,78 96 71 30,1,,finnmarkssykehuset-klinikk-hammerfest-voksenpsykiatrisk-poliklinikk-rusteam,,0,1 år siden
"Asdalvegen 1, 4250 Kopervik",Helse Vest,accel,98c9d27e-0df8-4b23-bc63-406d9efcb3fd,,False,59.28547834564172,5.310764783644315,,"Helse Fonna, Haugaland DPS TSB-post",,52 73 21 00,3,TSB poliklinikk,helse-fonna-haugaland-dps-tsb-post,"Driver integrert med psykisk helsevern i helseforetaket, godt samarbeid med øvrige deler av spesialisthelsetjenesten lokalt. Langtidsperspektiv i rehabiliteringsbehandlingen, som vi anser helt essensielt. Tilbyr raust og langvarig ettervern basert på den enkeltes behov.",0,2 år siden
"Tennisveien 4, 0777 Oslo",Helse Sør-Øst,accel,98c9d288-acbd-4259-baa7-49940dee3cbe,,True,59.95411522327387,10.693509868377069,,Blå Kors klinikk Oslo vest,,40466578,4,,bla-kors-klinikk-oslo-vest,Mentaliseringsbasert terapi som hovedfokus. Tett tverrfaglig samarbeid og samarbeid med eksterne instanser. Fysisk aktivitet som en del av behandlingen. Kompetanse på traumebehandling bl.a. EMDR.,0,6 måneder siden
"Trondheimsveien 80, 0565 Oslo","Bydelene Gamle Oslo, Grünerløkka og St. Hanshaugen i Oslo",accel,98c9d286-a177-4fad-9121-804cdd8d1bcd,,False,59.92239170544833,10.76665347533638,,"Lovisenberg Diakonale Sykehus, Ruspoliklinikken",,23 22 60 00 / 24 07 44 00,4,Rus-FACT Oslo Sentrum,lovisenberg-diakonale-sykehus-ruspoliklinikken,Pågående opplæring i EMDR. Utviklet psykoedukativt bevisstgjøringskurs og har etablert pågående personlighetsfokusert gruppeterapi.,0,2 år siden
"Hammersborg Torg 3, 0179 Oslo",Helse Sør-Øst,accel,98c9d288-c863-4ab3-9d81-ccd89da626ae,,True,59.91374720643771,10.753777473136122,,Blå Kors klinikk Oslo sentrum,,22 99 49 00,4,,bla-kors-klinikk-oslo-sentrum,Vi har lang tradisjon på å behandle spillavhengighet og utviklet eget tilbud for denne gruppen (alle ansatte har utdanning i dette). I tillegg lang erfaring med behandling av både ruspasienter og pårørende. Klinikken tar også i mot personer med pornoavhengighet. Vi har eget familieteam med familieterapeuter.,0,5 måneder siden
