AntallPaVenteliste,AntallPlasser,Avtaledato,Delelistelege,ErSio,Fastlege,Fellesliste,Fradato,Id,LedigePlasser,Oppstartsarsak,Valgbar,VentelisteTilgjengelig,auth_year,birth_year,gender,icon,lat,lon,offentlig_avtale
0,1000,2026-02-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006928,74,,True,False,,,,filter,58.4605594409296,8.81810049664068,
0,1289,2006-09-01T00:00:00,,False,,False,0001-01-01T00:00:00,5166,15,,True,False,,,,filter,58.46188425337229,8.764466037594866,
1,900,2015-01-01T00:00:00,,False,,False,0001-01-01T00:00:00,5186,0,,False,True,,,,filter,58.46268907537755,8.74520196505135,
0,1200,2015-11-01T00:00:00,,False,,False,0001-01-01T00:00:00,5187,16,,True,False,,,,filter,58.45844681772936,8.770501792115777,
0,650,2022-03-01T00:00:00,,False,,False,0001-01-01T00:00:00,100003461,130,,True,False,,,,filter,58.49667732596467,8.853552173418525,
2,600,2023-02-01T00:00:00,,False,,False,0001-01-01T00:00:00,100004257,0,,False,True,,,,filter,58.451218579230144,8.773493919919142,
0,900,2021-11-15T00:00:00,,False,,False,0001-01-01T00:00:00,100003164,45,,True,False,,,,filter,58.46214378715464,8.741057889824976,
28,1150,2019-09-01T00:00:00,,False,,False,0001-01-01T00:00:00,100001774,0,,False,True,,,,filter,58.454027263573835,8.75089842818322,
0,1200,2001-05-01T00:00:00,,False,,False,0001-01-01T00:00:00,5160,100,,True,False,,,,filter,58.47347371775373,8.811299937870078,
34,750,2022-09-15T00:00:00,,False,,False,0001-01-01T00:00:00,100003903,0,,False,True,,,,filter,58.46285855961686,8.825433271927073,
0,550,2015-12-01T00:00:00,,False,,False,0001-01-01T00:00:00,5536,130,,True,False,,,,filter,58.616921365322035,7.415729331744956,
52,600,2024-04-01T00:00:00,,False,,False,0001-01-01T00:00:00,100005412,0,,False,True,,,,filter,58.62049772701654,7.415053100922147,
0,650,2022-06-01T00:00:00,,False,,False,0001-01-01T00:00:00,100003567,53,,True,False,,,,filter,58.33388275174022,8.226779744778481,
26,750,2019-09-01T00:00:00,,False,,False,0001-01-01T00:00:00,100001800,0,,False,True,,,,filter,58.33650634086514,8.226046164005131,
0,675,2022-05-23T00:00:00,,False,,False,0001-01-01T00:00:00,100003566,3,,True,False,,,,filter,58.33489064265638,8.227857969674032,
23,850,2014-08-01T00:00:00,,False,,False,0001-01-01T00:00:00,5260,0,,False,True,,,,filter,58.331053153141966,8.231970693584362,
0,600,2022-07-11T00:00:00,,False,,False,0001-01-01T00:00:00,100003721,23,,True,False,,,,filter,58.335061412682784,8.225088733808175,
0,650,2024-09-01T00:00:00,,False,,False,0001-01-01T00:00:00,100005803,12,,True,False,,,,filter,58.331532839709865,8.230147554735893,
0,650,2022-12-01T00:00:00,,False,,False,0001-01-01T00:00:00,100004131,90,,True,False,,,,filter,58.3307730972502,8.229560288162054,
0,900,2022-06-01T00:00:00,,False,,False,0001-01-01T00:00:00,100003611,15,,True,False,,,,filter,58.584724916113885,7.807592070512956,
0,600,2023-11-01T00:00:00,,False,,False,0001-01-01T00:00:00,100004985,9,,True,False,,,,filter,58.58859585399088,7.808303586112548,
1,850,2010-09-01T00:00:00,,False,,False,0001-01-01T00:00:00,5288,0,,False,True,,,,filter,58.587796770419175,7.808958033083275,
0,800,2025-09-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006690,95,,True,False,,,,filter,58.5900464930663,7.813356170894645,
0,850,2019-09-01T00:00:00,,False,,False,0001-01-01T00:00:00,100001798,0,,False,True,,,,filter,58.58557430186443,7.807236138650116,
93,850,2025-01-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006058,0,,False,True,,,,filter,58.58591319127313,7.808597022571565,
0,600,2017-01-01T00:00:00,,False,,True,0001-01-01T00:00:00,100000296,57,,True,False,,,,filter,59.35449403169123,7.358552783328485,
0,600,2025-03-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006277,124,,True,False,,,,filter,59.35674840655442,7.363203317765831,
4,570,2007-10-01T00:00:00,,False,,True,0001-01-01T00:00:00,5296,0,,False,True,,,,filter,59.3537318622747,7.352068913378045,
0,250,2025-03-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006283,99,,True,False,,,,filter,59.36123256355866,7.355922893568151,
0,550,2004-04-01T00:00:00,,False,,False,0001-01-01T00:00:00,5301,4,,True,False,,,,filter,59.3577644553372,7.348892947499012,
0,900,2022-06-01T00:00:00,,False,,False,0001-01-01T00:00:00,100003611,15,,True,False,,,,filter,58.58340583129221,7.814069849334865,
0,600,2023-11-01T00:00:00,,False,,False,0001-01-01T00:00:00,100004985,9,,True,False,,,,filter,58.586334956054834,7.802874912000921,
1,850,2010-09-01T00:00:00,,False,,False,0001-01-01T00:00:00,5288,0,,False,True,,,,filter,58.58579359267307,7.808469820338524,
0,800,2025-09-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006690,95,,True,False,,,,filter,58.586953815352025,7.80660592163255,
0,850,2019-09-01T00:00:00,,False,,False,0001-01-01T00:00:00,100001798,0,,False,True,,,,filter,58.59034995209514,7.8062901938357045,
93,850,2025-01-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006058,0,,False,True,,,,filter,58.58464829199921,7.811345990493609,
303,1000,2016-03-01T00:00:00,,False,,False,0001-01-01T00:00:00,5460,0,,False,True,,,,filter,58.09403647410739,6.801273837171365,
183,1000,2004-05-01T00:00:00,,False,,False,0001-01-01T00:00:00,5456,0,,False,True,,,,filter,58.09564134556046,6.69417925660686,
55,700,2001-05-01T00:00:00,,False,,False,0001-01-01T00:00:00,5450,0,,False,True,,,,filter,58.09588045372165,6.802724842260875,
64,1200,2014-05-01T00:00:00,,False,,False,0001-01-01T00:00:00,5459,0,,False,True,,,,filter,58.088726153181796,6.806952156090527,
32,600,2023-10-01T00:00:00,,False,,False,0001-01-01T00:00:00,100004954,0,,False,True,,,,filter,58.09231486858125,6.803980047445466,
103,850,2021-01-01T00:00:00,,False,,False,0001-01-01T00:00:00,100002571,0,,False,True,,,,filter,58.0908409674553,6.807554933930164,
81,800,2024-02-01T00:00:00,,False,,False,0001-01-01T00:00:00,100005214,0,,False,True,,,,filter,58.09320783818566,6.814494430222416,
0,1000,,,False,,False,0001-01-01T00:00:00,100006129,25,,True,False,,,,filter,58.09183607989206,6.808742380784077,
0,934,,,False,,False,0001-01-01T00:00:00,100006721,14,,True,False,,,,filter,58.096258206265254,6.693483973301794,
0,800,,,False,,False,0001-01-01T00:00:00,100006759,0,,False,False,,,,filter,58.09726380233389,6.702399315011924,
150,1000,2011-08-01T00:00:00,,False,,False,0001-01-01T00:00:00,5470,0,,False,True,,,,filter,58.29590840447271,6.656348868148257,
54,1000,2001-05-01T00:00:00,,False,,False,0001-01-01T00:00:00,5461,0,,False,True,,,,filter,58.028343208669554,7.459316176716219,
7,1200,2023-02-01T00:00:00,,False,,False,0001-01-01T00:00:00,100004256,0,,False,True,,,,filter,58.29874207332649,6.657272608558845,
0,1000,2026-01-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006890,119,,True,False,,,,filter,58.02664499904663,7.461978288793892,
51,750,2021-08-30T00:00:00,,False,,False,0001-01-01T00:00:00,100002959,0,,False,True,,,,filter,58.293497593614205,6.661132062661889,
29,1100,2026-01-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006926,0,,False,True,,,,filter,58.0259342107168,7.471266659739368,
60,600,2022-11-01T00:00:00,,False,,False,0001-01-01T00:00:00,100004077,0,,False,True,,,,filter,58.29496906226418,6.657065975883067,
96,1200,2025-02-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006186,0,,False,True,,,,filter,58.02735873577484,7.467454772690269,
55,1500,2001-05-01T00:00:00,,False,,False,0001-01-01T00:00:00,5465,0,,False,True,,,,filter,58.296034880626046,6.6682765594248155,
0,800,,,False,,False,0001-01-01T00:00:00,100006190,112,,True,False,,,,filter,58.29463150577114,6.669179205099865,
25,880,2017-11-01T00:00:00,,False,,False,0001-01-01T00:00:00,100000716,0,,False,True,,,,filter,58.50516406893631,8.647820838792322,
7,700,2015-09-01T00:00:00,,False,,False,0001-01-01T00:00:00,5230,0,,False,True,,,,filter,58.5071267776724,8.645298827864574,
2,700,2023-03-06T00:00:00,,False,,False,0001-01-01T00:00:00,100004396,0,,False,True,,,,filter,58.50320291331512,8.638440087748616,
52,700,2020-06-01T00:00:00,,False,,False,0001-01-01T00:00:00,100002221,0,,False,True,,,,filter,58.505765208639346,8.63877906693148,
0,825,2016-04-01T00:00:00,,False,,False,0001-01-01T00:00:00,5232,1,,True,False,,,,filter,58.5093435407365,8.638208921633318,
16,530,2025-02-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006127,0,,False,True,,,,filter,58.507219119458114,8.644363423865896,
0,1000,2015-01-01T00:00:00,,False,,False,0001-01-01T00:00:00,5231,4,,True,False,,,,filter,58.509243242672014,8.643937343850991,
4,500,2020-01-01T00:00:00,,False,,False,0001-01-01T00:00:00,100002002,0,,False,True,,,,filter,58.50768132819618,8.63653996122622,
179,700,2010-02-01T00:00:00,,False,,False,0001-01-01T00:00:00,5198,0,,False,True,,,,filter,58.821703631662054,9.07189550156129,
0,700,2025-09-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006626,27,,True,False,,,,filter,58.821444823365,9.075286300719885,
0,300,2026-01-01T00:00:00,,False,,False,0001-01-01T00:00:00,100006863,12,,True,False,,,,filter,58.82398852010634,9.07254659187124,
0,700,,,False,,False,0001-01-01T00:00:00,100006877,1,,True,False,,,,filter,58.82599036019311,9.07028329772576,
