address,icon,lat,lon,name,offentlig_avtale,source_url
"Vestv. 51, 1450 Nesoddtangen",delete-alt,59.862157715988864,10.660252715053133,Vitusapotek Nesodden,,https://www.felleskatalogen.no/medisin/apotek/Nesoddtangen/vitusapotek-nesodden-nesoddtangen
"Songdalsv. 65, 4645 Nodeland",delete-alt,58.153233910670295,7.844299157145691,Vitusapotek Nodeland,,https://www.felleskatalogen.no/medisin/apotek/Nodeland/vitusapotek-nodeland-nodeland
"Sjøg. 21, Postboks 1, 6771 Nordfjordeid",delete-alt,61.911132962043325,5.986648014783514,Vitusapotek Nordfjordeid,,https://www.felleskatalogen.no/medisin/apotek/Nordfjordeid/vitusapotek-nordfjordeid-nordfjordeid
"Sentrum 22, 9151 Storslett",delete-alt,69.76819753351732,21.028867104413337,Vitusapotek Nordreisa,,https://www.felleskatalogen.no/medisin/apotek/Storslett/vitusapotek-nordreisa-storslett
"Dampsaga Senter, Bogav. 6, 7725 Steinkjer",delete-alt,64.01969941883549,11.486060186229976,Vitusapotek Nordstjernen - Steinkjer,,https://www.felleskatalogen.no/medisin/apotek/Steinkjer/vitusapotek-nordstjernen-steinkjer-steinkjer
"Jernverksg. 6, 3674 Notodden",delete-alt,59.556733819410425,9.256792667627114,Vitusapotek Notodden,,https://www.felleskatalogen.no/medisin/apotek/Notodden/vitusapotek-notodden-notodden
"Aunev. 3, Postboks 174, 7341 Oppdal",delete-alt,62.59267246807741,9.68983814938771,Vitusapotek Oppdal,,https://www.felleskatalogen.no/medisin/apotek/Oppdal/vitusapotek-oppdal-oppdal
"Opsahlv. 4, 1850 Mysen",delete-alt,59.55369491636278,11.336637487151688,Vitusapotek Opsahljordet - Mysen,,https://www.felleskatalogen.no/medisin/apotek/Mysen/vitusapotek-opsahljordet-mysen-mysen
"AMFI Senter, Postboks 204, 7302 Orkanger",delete-alt,63.29990011456317,9.840884935076582,Vitusapotek Orkedalen,,https://www.felleskatalogen.no/medisin/apotek/Orkanger/vitusapotek-orkedalen-orkanger
"Stenersg. 1 E, 0050 Oslo",delete-alt,59.91706729888746,10.751738517088812,Vitusapotek Oslo City,,https://www.felleskatalogen.no/medisin/apotek/Oslo/vitusapotek-oslo-city-sentrum
"Hans Dons v. 20, Postboks 150 Edvard Munchs v., 2061 Gardermoen",delete-alt,60.19033899898814,11.1055545301805,Vitusapotek Oslo Lufthavn,,https://www.felleskatalogen.no/medisin/apotek/Gardermoen/vitusapotek-oslo-lufthavn-gardermoen
"Tverradkomsten 60, 7300 Orkanger",delete-alt,63.30743685495808,9.846560793193747,Vitusapotek OTI - Orkanger,,https://www.felleskatalogen.no/medisin/apotek/Orkanger/vitusapotek-oti-orkanger-orkanger
"Pancov. 28, 1624 Gressvik",delete-alt,59.23258402432701,10.914435478378964,Vitusapotek Pancoveien,,https://www.felleskatalogen.no/medisin/apotek/Gressvik/vitusapotek-pancoveien-gressvik
"Jacob Kjødesv. 2 E, 5232 Paradis",delete-alt,60.338716374115165,5.349012456574091,Vitusapotek Paradis - Bergen,,https://www.felleskatalogen.no/medisin/apotek/Bergen/vitusapotek-paradis-bergen-bergen
"Lagårdsv. 78-80, 4010 Stavanger",delete-alt,58.956833497407345,5.743272688541602,Vitusapotek Paradis - Stavanger,,https://www.felleskatalogen.no/medisin/apotek/Stavanger/vitusapotek-paradis-stavanger-stavanger
"Jernbaneg. 3, 3916 Porsgrunn",delete-alt,59.13981819872667,9.654866073742639,Vitusapotek Porsgrund,,https://www.felleskatalogen.no/medisin/apotek/Porsgrunn/vitusapotek-porsgrund-porsgrunn
"Nedre Prinsdalsv. 70-72, 1263 Oslo",delete-alt,59.83036138381836,10.805340860666561,Vitusapotek Prinsdal,,https://www.felleskatalogen.no/medisin/apotek/Oslo/vitusapotek-prinsdal-prinsdal
"Solstrandv. 47, 9020 Tromsdalen",delete-alt,69.6411970973241,18.975308724887864,Vitusapotek Pyramiden - Tromsdalen,,https://www.felleskatalogen.no/medisin/apotek/TromsoE/vitusapotek-pyramiden-tromsdalen-tromsoe
"Jon Torbergssonsv. 21-23, 4070 Randaberg",delete-alt,58.9989405687298,5.612692791774223,Vitusapotek Randaberg,,https://www.felleskatalogen.no/medisin/apotek/Randaberg/vitusapotek-randaberg-randaberg
"Skonnertv. 8, 7053 Ranheim",delete-alt,63.43698215652092,10.507230554581723,Vitusapotek Ranheim,,https://www.felleskatalogen.no/medisin/apotek/Trondheim/vitusapotek-ranheim-trondheim
"Rastastubben 1, 1476 Rasta",delete-alt,59.92721078915064,10.94117913501229,Vitusapotek Rasta,,https://www.felleskatalogen.no/medisin/apotek/LoErenskog/vitusapotek-rasta-loerenskog
"Sagvollv. 1, 2833 Raufoss",delete-alt,60.719180390580796,10.617607619107748,Vitusapotek Raufoss,,https://www.felleskatalogen.no/medisin/apotek/Raufoss/vitusapotek-raufoss-raufoss
"Storg. 2, 9900 Kirkenes",delete-alt,69.72974950025187,30.0259257968813,Vitusapotek Renen,,https://www.felleskatalogen.no/medisin/apotek/Kirkenes/vitusapotek-renen-kirkenes
"Hanstadg. 5, 2630 Ringebu",delete-alt,61.52683245812778,10.137210937675391,Vitusapotek Ringebu,,https://www.felleskatalogen.no/medisin/apotek/Ringebu/vitusapotek-ringebu-ringebu
"Storg. 19, Postboks 7, 3661 Rjukan",delete-alt,59.88077679428629,8.59241561263045,Vitusapotek Rjukan,,https://www.felleskatalogen.no/medisin/apotek/Rjukan/vitusapotek-rjukan-rjukan
"Stadsing Dahls g. 5, 7015 Trondheim",delete-alt,63.43333287112317,10.418841365081112,Vitusapotek Rosenborg,,https://www.felleskatalogen.no/medisin/apotek/Trondheim/vitusapotek-rosenborg-trondheim
"Stolvstadv. 2, 2360 Rudshøgda",delete-alt,60.91303451719693,10.811673252069571,Vitusapotek Rudshøgda,,https://www.felleskatalogen.no/medisin/apotek/RudshoEgda/vitusapotek-rudshoegda-rudshoegda
"Europav. 139, 3962 Stathelle",delete-alt,59.03558000208663,9.67908885126067,Vitusapotek Rugtved,,https://www.felleskatalogen.no/medisin/apotek/Stathelle/vitusapotek-rugtved-stathelle
"Kirkegårdsv. 3, 1348 Rykkinn",delete-alt,59.92330727063328,10.490606855310325,Vitusapotek Rykkinn,,https://www.felleskatalogen.no/medisin/apotek/Rykkinn/vitusapotek-rykkinn-rykkinn
"Gladbakkv. 1, 2070 Råholt",delete-alt,60.283040599197896,11.16887182883158,Vitusapotek Råholt,,https://www.felleskatalogen.no/medisin/apotek/RaAholt/vitusapotek-raaholt-raaholt
"Vækerøv. 205, 0751 Oslo",delete-alt,59.94973968146629,10.639067413530983,Vitusapotek Røa,,https://www.felleskatalogen.no/medisin/apotek/Oslo/vitusapotek-roea-roea
"Domussenteret, Peder Hiortsg. 7, 7374 Røros",delete-alt,62.57379087969153,11.38901106292302,Vitusapotek Røros,,https://www.felleskatalogen.no/medisin/apotek/RoEros/vitusapotek-roeros-roeros
"Strandg. 13, Postboks 24, 7901 Rørvik",delete-alt,64.86057116573498,11.236619559301912,Vitusapotek Rørvik,,https://www.felleskatalogen.no/medisin/apotek/RoErvik/vitusapotek-roervik-roervik
"Bråsetv. 3, 3440 Røyken",delete-alt,59.74716852113778,10.385200711970876,Vitusapotek Røyken,,https://www.felleskatalogen.no/medisin/apotek/RoEyken/vitusapotek-roeyken-roeyken
"Sandaker senter, Sandakerv. 59, 0477 Oslo",delete-alt,59.93813630292302,10.77390651149056,Vitusapotek Sandaker,,https://www.felleskatalogen.no/medisin/apotek/Oslo/vitusapotek-sandaker-sandaker
"Haslebakken 4, 3229 Sandefjord",delete-alt,59.13791980126878,10.243524086062632,Vitusapotek Sandefjord,,https://www.felleskatalogen.no/medisin/apotek/Sandefjord/vitusapotek-sandefjord-sandefjord
"Tollbodg. 16, 4611 Kristiansand",delete-alt,58.147555347505346,7.998209960173755,Vitusapotek Sandens,,https://www.felleskatalogen.no/medisin/apotek/Kristiansand/vitusapotek-sandens-kristiansand
